Driver_ID, Vehicle_ID, Shift_time, Parcels_to_Deliver
1,1,'Morning',60
2,2,'Morning',57
3,3,'Morning',46
4,4,'Morning',32
5,5,'Morning',48
6,1,'Afternoon',62
7,2,'Afternoon',39
8,3,'Afternoon',60
9,4,'Afternoon',57
10,5,'Afternoon',46
1,1,'Morning',32
2,2,'Morning',48
3,3,'Morning',62
4,4,'Morning',39
5,5,'Morning',60
6,1,'Afternoon',57
7,2,'Afternoon',46
8,3,'Afternoon',32
9,4,'Afternoon',48
10,5,'Afternoon',62
1,1,'Morning',39
2,2,'Morning',60
3,3,'Morning',57
4,4,'Morning',46
5,5,'Morning',32
6,1,'Afternoon',48
7,2,'Afternoon',62
8,3,'Afternoon',39
9,4,'Afternoon',60
10,5,'Afternoon',57
1,1,'Morning',46
2,2,'Morning',32
3,3,'Morning',48
4,4,'Morning',62
5,5,'Morning',39
6,1,'Afternoon',60
7,2,'Afternoon',57
8,3,'Afternoon',46
9,4,'Afternoon',32
10,5,'Afternoon',48
1,1,'Morning',62
2,2,'Morning',39
3,3,'Morning',60
4,4,'Morning',57
5,5,'Morning',46
6,1,'Afternoon',32
7,2,'Afternoon',48
8,3,'Afternoon',62
9,4,'Afternoon',39
10,5,'Afternoon',12